available_actions,ball_zone,best_action_estimate,counter_estimate,formation_a,formation_b,game_state,numerical_state,opponent_response_estimate,opponent_shape_b,outcome_estimate,pressure_level,scenario_id,source_class,space_value_estimate,style_a,style_b,team_shape_a
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-1-4-2,3-5-2,0-2,even,hand_over_marking,3-5-2_mid_block,possession_reset,medium,SC00016,F,0.81,low_block,counterattacking,3-1-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-1-4-2,2-1,defender_plus_1,shift_across,3-1-4-2_mid_block,turnover,high,SC00017,F,0.72,counterattacking,high_press,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z3,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-3-3,protect_lead,even,drop_off,4-3-3_low_block,progression,low,SC00018,F,0.23,gegenpressing,low_block,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z7,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,5-3-2,chase_goal,attacker_plus_1,drop_off,5-3-2_mid_block,shot_created,medium,SC00019,F,0.57,possession_football,low_block,3-5-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-3-3,1-0,defender_plus_1,double_team,4-3-3_mid_block,possession_reset,low,SC00020,F,0.27,high_press,direct_football,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z24,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-4-3,0-1,attacker_plus_1,press_immediately,3-4-3_low_block,shot_created,low,SC00021,F,0.68,positional_play,tiki_taka,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z17,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-1-4-1,1-2,even,hand_over_marking,4-1-4-1_mid_block,progression,medium,SC00022,F,0.3,direct_football,wing_play,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-2-3-1,0-2,defender_plus_1,double_team,4-2-3-1_mid_block,shot_created,medium,SC00023,F,0.45,counterattacking,tiki_taka,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-2-3-1,0-1,even,drop_off,4-2-3-1_low_block,shot_created,high,SC00024,F,0.51,direct_football,counterattacking,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-4-2_diamond,1-2,even,double_team,4-4-2_diamond_mid_block,possession_reset,low,SC00025,F,0.36,gegenpressing,counterattacking,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z17,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-1-4-1,0-1,attacker_plus_1,hand_over_marking,4-1-4-1_low_block,progression,medium,SC00026,F,0.49,high_press,wing_play,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z12,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-2-2-2,chase_goal,even,step_up_together,4-2-2-2_low_block,turnover,medium,SC00027,F,0.72,positional_play,possession_football,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-2-2-2,0-0,even,double_team,4-2-2-2_mid_block,turnover,low,SC00028,F,0.8,total_football,wing_play,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z15,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-5-2,1-0,defender_plus_1,recover_goal_side,3-5-2_mid_block,shot_created,high,SC00029,F,0.37,low_block,gegenpressing,4-1-4-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z8,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,5-3-2,0-2,even,hold_shape,5-3-2_mid_block,turnover,low,SC00030,F,0.71,counterattacking,positional_play,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z11,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-4-2,0-0,even,step_up_together,4-4-2_low_block,possession_reset,medium,SC00031,F,0.76,wing_play,possession_football,4-2-2-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-4-2,0-2,even,drop_off,4-4-2_low_block,possession_reset,low,SC00032,F,0.26,gegenpressing,possession_football,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z27,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,5-3-2,protect_lead,attacker_plus_1,hand_over_marking,5-3-2_low_block,possession_reset,high,SC00033,F,0.81,low_block,positional_play,4-3-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-3-1,2-0,defender_plus_1,recover_goal_side,4-2-3-1_mid_block,shot_created,low,SC00034,F,0.69,possession_football,total_football,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-4-2,0-1,even,drop_off,4-4-2_mid_block,turnover,high,SC00035,F,0.32,positional_play,wing_play,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z4,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,3-1-4-2,chase_goal,defender_plus_1,double_team,3-1-4-2_mid_block,turnover,high,SC00036,F,0.61,direct_football,wing_play,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-5-2,0-0,attacker_plus_1,hold_shape,3-5-2_mid_block,turnover,low,SC00037,F,0.16,positional_play,total_football,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z1,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-4-2,0-1,attacker_plus_1,hand_over_marking,4-4-2_low_block,turnover,low,SC00038,F,0.85,counterattacking,high_press,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z17,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-4-2_diamond,0-2,defender_plus_1,recover_goal_side,4-4-2_diamond_mid_block,possession_reset,high,SC00039,F,0.24,gegenpressing,direct_football,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z21,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-2-3-1,2-0,even,recover_goal_side,4-2-3-1_low_block,shot_created,medium,SC00040,F,0.73,direct_football,low_block,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z22,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2_diamond,1-2,even,recover_goal_side,4-4-2_diamond_low_block,shot_created,low,SC00041,F,0.62,positional_play,low_block,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z9,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-3-3,0-0,defender_plus_1,double_team,4-3-3_low_block,shot_created,low,SC00042,F,0.48,high_press,total_football,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z22,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,3-5-2,must_win,defender_plus_1,hold_shape,3-5-2_low_block,possession_reset,medium,SC00043,F,0.81,gegenpressing,counterattacking,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z15,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,5-3-2,0-2,defender_plus_1,double_team,5-3-2_mid_block,possession_reset,low,SC00044,F,0.87,possession_football,high_press,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z24,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-4-2,0-2,defender_plus_1,press_immediately,4-4-2_mid_block,shot_created,medium,SC00045,F,0.71,wing_play,possession_football,4-3-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z18,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,5-3-2,chase_goal,attacker_plus_1,step_up_together,5-3-2_mid_block,shot_created,medium,SC00046,F,0.22,gegenpressing,wing_play,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z6,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-1-4-1,0-1,defender_plus_1,press_immediately,4-1-4-1_low_block,turnover,high,SC00047,F,0.21,high_press,counterattacking,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,3-5-2,2-1,even,double_team,3-5-2_low_block,progression,low,SC00048,F,0.88,direct_football,low_block,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z30,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-4-3,must_win,attacker_plus_1,press_immediately,3-4-3_mid_block,shot_created,low,SC00049,F,0.87,high_press,counterattacking,4-3-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-1-4-1,chase_goal,even,hold_shape,4-1-4-1_low_block,turnover,low,SC00050,F,0.36,gegenpressing,counterattacking,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-1-4-1,0-1,even,hold_shape,4-1-4-1_low_block,shot_created,low,SC00051,F,0.21,wing_play,gegenpressing,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z23,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,3-4-3,0-0,attacker_plus_1,hand_over_marking,3-4-3_low_block,turnover,high,SC00052,F,0.67,possession_football,gegenpressing,5-3-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z12,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,5-3-2,0-0,attacker_plus_1,drop_off,5-3-2_low_block,possession_reset,low,SC00053,F,0.14,wing_play,possession_football,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,3-4-3,0-2,defender_plus_1,recover_goal_side,3-4-3_mid_block,possession_reset,low,SC00054,F,0.59,total_football,counterattacking,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,3-1-4-2,0-2,defender_plus_1,hold_shape,3-1-4-2_low_block,possession_reset,medium,SC00055,F,0.47,possession_football,gegenpressing,4-2-2-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-1-4-1,1-2,defender_plus_1,double_team,4-1-4-1_mid_block,possession_reset,high,SC00056,F,0.47,wing_play,direct_football,4-2-2-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z15,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-3-3,must_win,even,recover_goal_side,4-3-3_mid_block,turnover,medium,SC00057,F,0.2,total_football,counterattacking,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z21,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-2-3-1,1-2,even,double_team,4-2-3-1_low_block,turnover,medium,SC00058,F,0.29,direct_football,gegenpressing,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z20,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,4-2-2-2,must_win,even,step_up_together,4-2-2-2_low_block,shot_created,low,SC00059,F,0.16,direct_football,tiki_taka,4-4-2_diamond_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z3,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-3-3,0-1,even,hold_shape,4-3-3_low_block,shot_created,medium,SC00060,F,0.72,counterattacking,gegenpressing,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z21,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,3-5-2,protect_lead,defender_plus_1,hold_shape,3-5-2_low_block,possession_reset,low,SC00061,F,0.8,low_block,total_football,4-3-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z26,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-2-2-2,protect_lead,even,double_team,4-2-2-2_mid_block,progression,high,SC00062,F,0.84,gegenpressing,direct_football,4-4-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z12,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,3-1-4-2,2-1,defender_plus_1,shift_across,3-1-4-2_mid_block,possession_reset,low,SC00063,F,0.67,total_football,possession_football,4-1-4-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z2,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,3-4-3,0-0,defender_plus_1,hand_over_marking,3-4-3_low_block,progression,high,SC00064,F,0.61,gegenpressing,total_football,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z24,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,5-3-2,0-1,defender_plus_1,hold_shape,5-3-2_mid_block,progression,low,SC00065,F,0.31,counterattacking,high_press,3-5-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-1-4-1,0-0,attacker_plus_1,press_immediately,4-1-4-1_low_block,possession_reset,high,SC00066,F,0.12,direct_football,high_press,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-1-4-1,4-2-3-1,protect_lead,defender_plus_1,step_up_together,4-2-3-1_low_block,shot_created,low,SC00067,F,0.75,low_block,possession_football,4-1-4-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z8,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,4-4-2_diamond,0-2,defender_plus_1,drop_off,4-4-2_diamond_mid_block,turnover,medium,SC00068,F,0.49,positional_play,high_press,4-2-3-1_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,5-3-2,2-0,defender_plus_1,double_team,5-3-2_mid_block,progression,medium,SC00069,F,0.3,tiki_taka,positional_play,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z16,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-4-3,4-2-2-2,0-2,attacker_plus_1,hold_shape,4-2-2-2_low_block,possession_reset,high,SC00070,F,0.89,wing_play,total_football,3-4-3_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z11,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-2-2-2,0-2,attacker_plus_1,double_team,4-2-2-2_mid_block,progression,low,SC00071,F,0.88,tiki_taka,low_block,4-3-3_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z5,cross,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2_diamond,3-5-2,protect_lead,even,recover_goal_side,3-5-2_low_block,shot_created,medium,SC00072,F,0.7,gegenpressing,high_press,4-4-2_diamond_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z19,recycle,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-2-2,4-3-3,1-0,even,drop_off,4-3-3_low_block,shot_created,high,SC00073,F,0.77,gegenpressing,total_football,4-2-2-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z29,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,5-3-2,0-1,defender_plus_1,press_immediately,5-3-2_mid_block,possession_reset,medium,SC00074,F,0.78,high_press,wing_play,3-5-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z24,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-2-3-1,5-3-2,protect_lead,attacker_plus_1,step_up_together,5-3-2_low_block,turnover,high,SC00075,F,0.46,tiki_taka,high_press,4-2-3-1_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z13,pass,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,5-3-2,0-2,even,drop_off,5-3-2_mid_block,progression,high,SC00076,F,0.82,total_football,tiki_taka,3-5-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-4-2,4-3-3,0-0,attacker_plus_1,shift_across,4-3-3_low_block,possession_reset,medium,SC00077,F,0.39,high_press,gegenpressing,4-4-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z14,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),3-5-2,4-2-3-1,0-0,even,hand_over_marking,4-2-3-1_low_block,turnover,medium,SC00078,F,0.84,low_block,counterattacking,3-5-2_defensive_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z10,switch,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),5-3-2,4-4-2_diamond,chase_goal,even,double_team,4-4-2_diamond_mid_block,possession_reset,high,SC00079,F,0.78,high_press,possession_football,5-3-2_possession_shape
"[""pass"", ""dribble"", ""cross"", ""switch"", ""recycle""]",Z19,dribble,re-evaluate via counterfactual simulation (03_DECISION_ENGINE_ARCHITECTURE.md Part BQ),4-3-3,4-4-2_diamond,chase_goal,defender_plus_1,step_up_together,4-4-2_diamond_mid_block,possession_reset,high,SC00080,F,0.71,positional_play,low_block,4-3-3_possession_shape
