action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
flag_technical_mismatch_for_substitution_or_instruction_review,tactical_engine,PLAYER,weak_foot_rating_below_average,medium,"n/a — this is an internal flag, not an on-pitch action",a coaching adjustment (core KB Part BM pattern) is triggered,any,surface a recurring individual technical vulnerability being exploited,over-correcting can remove a player's primary strength (their stronger side) from the game entirely if misapplied,PL0001,F,affected_player,player_forced_onto_weak_foot_repeatedly
shift_to_deeper_defensive_line_with_compact_low_block,coaching_staff,GAME_STATE,opponent_committing_numbers_forward,medium-high,opponent introduces a target-man substitute to increase direct aerial threat against the deeper line,"lower quality/quantity of chances conceded, at the cost of territorial concession",any,reduce space in behind against a chasing opponent's committed attack (core KB Part BD/§24),sustained pressure can eventually break down even a well-organized low block,GS0001,B,own_defensive_third,team_leading_by_one_goal_after_75th_minute
run_screening_block_routine,attacking_team,SET_PIECE,opponent_uses_pure_man_marking,medium,defending team switches to a hybrid marking scheme (core KB Section 53.2) specifically to neutralize blocking routines,primary aerial target receives a delivery with a reduced/delayed marker,set_piece,exploit man-marking's specific vulnerability to legal screening (core KB Section 53.1-53.2),mistimed block risks an obstruction/offence call,STP0001,C,primary_aerial_threats_marker,corner_awarded
substitute_in_a_target_man_or_poacher_profile,coaching_staff,SUBSTITUTION,current_striker_profile_is_false_nine_or_deep_lying_forward,medium,"opponent introduces a fresh, taller defensive substitute of their own to match the new aerial threat",introduces a fresh individual mismatch (aerial or pace) against a tiring back line,any,change the type of attacking threat to something the current defensive setup hasn't yet had to solve (core KB Part BG),loses the outgoing player's specific combination/link-up strengths,SB0001,C,striker_position,team_chasing_a_goal_after_70th_minute
flag_negative_interaction_risk,tactical_engine,ATTRIBUTE_INTERACTION,high_defensive_line_height_combined_with_low_pace_centre_backs,high,n/a,engine down-weights recommendations for a higher defensive line when this combination is present,any,surface that PACE (attribute) and DEFENSIVE_LINE_HEIGHT (tactical setting) interact negatively when misaligned,n/a — internal flag,AI0001,B,defensive_line,n/a
flag_positive_interaction,tactical_engine,ATTRIBUTE_INTERACTION,high_composure_combined_with_high_press_intensity_faced,medium-high,n/a,engine slightly raises the risk tolerance ceiling for this player's on-ball actions under pressure,any,"surface that COMPOSURE interacts positively with the ability to retain possession under a high press, informing pass-risk tolerance upward for this specific player",n/a — internal flag,AI0002,C,ball_carrier,n/a
flag_negative_interaction_risk_late_match,tactical_engine,ATTRIBUTE_INTERACTION,low_stamina_combined_with_high_press_intensity_tactical_instruction,medium-high,n/a,engine recommends a pressing-intensity reduction or a substitution window as the match progresses,any,surface that STAMINA and PRESS_INTENSITY interact negatively over accumulated match/fixture-congestion load (core KB Section 46.2/50.4),reducing press intensity too early cedes territorial control unnecessarily,AI0003,B,pressing_unit,n/a
support_run,box_to_box,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,box_to_box gains separation or space value in Z16,offensive_transition,execute a support run from Z11 to manipulate marker positioning toward Z16,mistimed execution allows the defender to recover before the movement completes,MV00001,C,Z16,box_to_box_positioned_in_Z11
curved_run,cover_defender,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,cover_defender gains separation or space value in Z8,defensive_transition,execute a curved run from Z19 to manipulate marker positioning toward Z8,mistimed execution allows the defender to recover before the movement completes,MV00002,C,Z8,cover_defender_positioned_in_Z19
rotation,number_10,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,number_10 gains separation or space value in Z5,defensive_organisation,execute a rotation from Z16 to manipulate marker positioning toward Z5,mistimed execution allows the defender to recover before the movement completes,MV00003,C,Z5,number_10_positioned_in_Z16
inversion,ball_winning_midfielder,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,ball_winning_midfielder gains separation or space value in Z10,defensive_organisation,execute a inversion from Z26 to manipulate marker positioning toward Z10,mistimed execution allows the defender to recover before the movement completes,MV00004,C,Z10,ball_winning_midfielder_positioned_in_Z26
check_toward_ball,deep_lying_forward,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,deep_lying_forward gains separation or space value in Z12,defensive_organisation,execute a check toward ball from Z28 to manipulate marker positioning toward Z12,mistimed execution allows the defender to recover before the movement completes,MV00005,C,Z12,deep_lying_forward_positioned_in_Z28
run_in_behind,segundo_volante,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,segundo_volante gains separation or space value in Z21,defensive_transition,execute a run in behind from Z26 to manipulate marker positioning toward Z21,mistimed execution allows the defender to recover before the movement completes,MV00006,C,Z21,segundo_volante_positioned_in_Z26
rotation,mezzala,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,mezzala gains separation or space value in Z5,offensive_transition,execute a rotation from Z24 to manipulate marker positioning toward Z5,mistimed execution allows the defender to recover before the movement completes,MV00007,C,Z5,mezzala_positioned_in_Z24
dummy_run,number_10,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,number_10 gains separation or space value in Z7,set_piece,execute a dummy run from Z29 to manipulate marker positioning toward Z7,mistimed execution allows the defender to recover before the movement completes,MV00008,C,Z7,number_10_positioned_in_Z29
straight_run,aggressive_gk,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,aggressive_gk gains separation or space value in Z26,attacking_organisation,execute a straight run from Z10 to manipulate marker positioning toward Z26,mistimed execution allows the defender to recover before the movement completes,MV00009,C,Z26,aggressive_gk_positioned_in_Z10
dummy_run,full_back,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,full_back gains separation or space value in Z25,attacking_organisation,execute a dummy run from Z1 to manipulate marker positioning toward Z25,mistimed execution allows the defender to recover before the movement completes,MV00010,C,Z25,full_back_positioned_in_Z1
straight_run,cover_defender,MOVEMENT,defensive_response_available_is_hold_shape,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,cover_defender gains separation or space value in Z10,defensive_transition,execute a straight run from Z26 to manipulate marker positioning toward Z10,mistimed execution allows the defender to recover before the movement completes,MV00011,C,Z10,cover_defender_positioned_in_Z26
spin,regista,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,regista gains separation or space value in Z30,defensive_organisation,execute a spin from Z9 to manipulate marker positioning toward Z30,mistimed execution allows the defender to recover before the movement completes,MV00012,C,Z30,regista_positioned_in_Z9
spin,destroyer,MOVEMENT,defensive_response_available_is_press_immediately,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,destroyer gains separation or space value in Z21,attacking_organisation,execute a spin from Z8 to manipulate marker positioning toward Z21,mistimed execution allows the defender to recover before the movement completes,MV00013,C,Z21,destroyer_positioned_in_Z8
underlap,target_man,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,target_man gains separation or space value in Z23,defensive_organisation,execute a underlap from Z5 to manipulate marker positioning toward Z23,mistimed execution allows the defender to recover before the movement completes,MV00014,C,Z23,target_man_positioned_in_Z5
run_in_behind,advanced_forward,MOVEMENT,defensive_response_available_is_double_team,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,advanced_forward gains separation or space value in Z21,offensive_transition,execute a run in behind from Z28 to manipulate marker positioning toward Z21,mistimed execution allows the defender to recover before the movement completes,MV00015,C,Z21,advanced_forward_positioned_in_Z28
double_movement,stopper,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,stopper gains separation or space value in Z4,defensive_organisation,execute a double movement from Z5 to manipulate marker positioning toward Z4,mistimed execution allows the defender to recover before the movement completes,MV00016,C,Z4,stopper_positioned_in_Z5
pin,deep_lying_forward,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,deep_lying_forward gains separation or space value in Z16,defensive_transition,execute a pin from Z29 to manipulate marker positioning toward Z16,mistimed execution allows the defender to recover before the movement completes,MV00017,C,Z16,deep_lying_forward_positioned_in_Z29
support_run,aggressive_gk,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,aggressive_gk gains separation or space value in Z21,defensive_transition,execute a support run from Z28 to manipulate marker positioning toward Z21,mistimed execution allows the defender to recover before the movement completes,MV00018,C,Z21,aggressive_gk_positioned_in_Z28
spin,defensive_winger,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,defensive_winger gains separation or space value in Z25,set_piece,execute a spin from Z12 to manipulate marker positioning toward Z25,mistimed execution allows the defender to recover before the movement completes,MV00019,C,Z25,defensive_winger_positioned_in_Z12
pin,regista,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,regista gains separation or space value in Z22,defensive_organisation,execute a pin from Z24 to manipulate marker positioning toward Z22,mistimed execution allows the defender to recover before the movement completes,MV00020,C,Z22,regista_positioned_in_Z24
spin,shot_stopper,MOVEMENT,defensive_response_available_is_double_team,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,shot_stopper gains separation or space value in Z13,offensive_transition,execute a spin from Z11 to manipulate marker positioning toward Z13,mistimed execution allows the defender to recover before the movement completes,MV00021,C,Z13,shot_stopper_positioned_in_Z11
vacate,full_back,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,full_back gains separation or space value in Z4,defensive_transition,execute a vacate from Z14 to manipulate marker positioning toward Z4,mistimed execution allows the defender to recover before the movement completes,MV00022,C,Z4,full_back_positioned_in_Z14
dummy_run,advanced_playmaker,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,advanced_playmaker gains separation or space value in Z5,attacking_organisation,execute a dummy run from Z28 to manipulate marker positioning toward Z5,mistimed execution allows the defender to recover before the movement completes,MV00023,C,Z5,advanced_playmaker_positioned_in_Z28
vacate,attacking_fb,MOVEMENT,defensive_response_available_is_double_team,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,attacking_fb gains separation or space value in Z19,attacking_organisation,execute a vacate from Z21 to manipulate marker positioning toward Z19,mistimed execution allows the defender to recover before the movement completes,MV00024,C,Z19,attacking_fb_positioned_in_Z21
vacate,shot_stopper,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,shot_stopper gains separation or space value in Z18,set_piece,execute a vacate from Z24 to manipulate marker positioning toward Z18,mistimed execution allows the defender to recover before the movement completes,MV00025,C,Z18,shot_stopper_positioned_in_Z24
rotation,wide_cb,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,wide_cb gains separation or space value in Z6,defensive_transition,execute a rotation from Z9 to manipulate marker positioning toward Z6,mistimed execution allows the defender to recover before the movement completes,MV00026,C,Z6,wide_cb_positioned_in_Z9
check_away,attacking_fb,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,attacking_fb gains separation or space value in Z26,offensive_transition,execute a check away from Z11 to manipulate marker positioning toward Z26,mistimed execution allows the defender to recover before the movement completes,MV00027,C,Z26,attacking_fb_positioned_in_Z11
occupy,stopper,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,stopper gains separation or space value in Z10,defensive_transition,execute a occupy from Z5 to manipulate marker positioning toward Z10,mistimed execution allows the defender to recover before the movement completes,MV00028,C,Z10,stopper_positioned_in_Z5
vacate,regista,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,regista gains separation or space value in Z27,set_piece,execute a vacate from Z9 to manipulate marker positioning toward Z27,mistimed execution allows the defender to recover before the movement completes,MV00029,C,Z27,regista_positioned_in_Z9
check_toward_ball,ball_playing_gk,MOVEMENT,defensive_response_available_is_hold_shape,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,ball_playing_gk gains separation or space value in Z5,defensive_organisation,execute a check toward ball from Z8 to manipulate marker positioning toward Z5,mistimed execution allows the defender to recover before the movement completes,MV00030,C,Z5,ball_playing_gk_positioned_in_Z8
diagonal_run,sweeper_keeper,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,sweeper_keeper gains separation or space value in Z13,attacking_organisation,execute a diagonal run from Z29 to manipulate marker positioning toward Z13,mistimed execution allows the defender to recover before the movement completes,MV00031,C,Z13,sweeper_keeper_positioned_in_Z29
drop,trequartista,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,trequartista gains separation or space value in Z18,set_piece,execute a drop from Z16 to manipulate marker positioning toward Z18,mistimed execution allows the defender to recover before the movement completes,MV00032,C,Z18,trequartista_positioned_in_Z16
blind_side_run,number_10,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,number_10 gains separation or space value in Z11,defensive_transition,execute a blind side run from Z1 to manipulate marker positioning toward Z11,mistimed execution allows the defender to recover before the movement completes,MV00033,C,Z11,number_10_positioned_in_Z1
diagonal_run,target_man,MOVEMENT,defensive_response_available_is_press_immediately,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,target_man gains separation or space value in Z1,set_piece,execute a diagonal run from Z7 to manipulate marker positioning toward Z1,mistimed execution allows the defender to recover before the movement completes,MV00034,C,Z1,target_man_positioned_in_Z7
vacate,deep_playmaker,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,deep_playmaker gains separation or space value in Z16,set_piece,execute a vacate from Z14 to manipulate marker positioning toward Z16,mistimed execution allows the defender to recover before the movement completes,MV00035,C,Z16,deep_playmaker_positioned_in_Z14
check_away,full_back,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,full_back gains separation or space value in Z20,attacking_organisation,execute a check away from Z12 to manipulate marker positioning toward Z20,mistimed execution allows the defender to recover before the movement completes,MV00036,C,Z20,full_back_positioned_in_Z12
pin,stopper,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,stopper gains separation or space value in Z16,offensive_transition,execute a pin from Z30 to manipulate marker positioning toward Z16,mistimed execution allows the defender to recover before the movement completes,MV00037,C,Z16,stopper_positioned_in_Z30
check_toward_ball,deep_playmaker,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,deep_playmaker gains separation or space value in Z3,defensive_transition,execute a check toward ball from Z6 to manipulate marker positioning toward Z3,mistimed execution allows the defender to recover before the movement completes,MV00038,C,Z3,deep_playmaker_positioned_in_Z6
curved_run,ball_winning_midfielder,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,ball_winning_midfielder gains separation or space value in Z2,attacking_organisation,execute a curved run from Z29 to manipulate marker positioning toward Z2,mistimed execution allows the defender to recover before the movement completes,MV00039,C,Z2,ball_winning_midfielder_positioned_in_Z29
check_toward_ball,complete_forward,MOVEMENT,defensive_response_available_is_press_immediately,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,complete_forward gains separation or space value in Z20,set_piece,execute a check toward ball from Z6 to manipulate marker positioning toward Z20,mistimed execution allows the defender to recover before the movement completes,MV00040,C,Z20,complete_forward_positioned_in_Z6
drop,number_10,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,number_10 gains separation or space value in Z14,set_piece,execute a drop from Z11 to manipulate marker positioning toward Z14,mistimed execution allows the defender to recover before the movement completes,MV00041,C,Z14,number_10_positioned_in_Z11
drift,shadow_striker,MOVEMENT,defensive_response_available_is_double_team,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,shadow_striker gains separation or space value in Z28,defensive_organisation,execute a drift from Z6 to manipulate marker positioning toward Z28,mistimed execution allows the defender to recover before the movement completes,MV00042,C,Z28,shadow_striker_positioned_in_Z6
drop,complete_wing_back,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,complete_wing_back gains separation or space value in Z8,offensive_transition,execute a drop from Z25 to manipulate marker positioning toward Z8,mistimed execution allows the defender to recover before the movement completes,MV00043,C,Z8,complete_wing_back_positioned_in_Z25
blind_side_run,cover_defender,MOVEMENT,defensive_response_available_is_hand_over_marking,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,cover_defender gains separation or space value in Z17,defensive_transition,execute a blind side run from Z28 to manipulate marker positioning toward Z17,mistimed execution allows the defender to recover before the movement completes,MV00044,C,Z17,cover_defender_positioned_in_Z28
straight_run,ball_playing_cb,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,ball_playing_cb gains separation or space value in Z16,attacking_organisation,execute a straight run from Z1 to manipulate marker positioning toward Z16,mistimed execution allows the defender to recover before the movement completes,MV00045,C,Z16,ball_playing_cb_positioned_in_Z1
occupy,ball_playing_cb,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,ball_playing_cb gains separation or space value in Z4,defensive_organisation,execute a occupy from Z5 to manipulate marker positioning toward Z4,mistimed execution allows the defender to recover before the movement completes,MV00046,C,Z4,ball_playing_cb_positioned_in_Z5
curved_run,box_to_box,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,box_to_box gains separation or space value in Z12,offensive_transition,execute a curved run from Z2 to manipulate marker positioning toward Z12,mistimed execution allows the defender to recover before the movement completes,MV00047,C,Z12,box_to_box_positioned_in_Z2
straight_run,wide_cb,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,wide_cb gains separation or space value in Z7,defensive_organisation,execute a straight run from Z4 to manipulate marker positioning toward Z7,mistimed execution allows the defender to recover before the movement completes,MV00048,C,Z7,wide_cb_positioned_in_Z4
inversion,complete_forward,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,complete_forward gains separation or space value in Z6,attacking_organisation,execute a inversion from Z19 to manipulate marker positioning toward Z6,mistimed execution allows the defender to recover before the movement completes,MV00049,C,Z6,complete_forward_positioned_in_Z19
straight_run,poacher,MOVEMENT,defensive_response_available_is_step_up_together,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,poacher gains separation or space value in Z7,defensive_transition,execute a straight run from Z17 to manipulate marker positioning toward Z7,mistimed execution allows the defender to recover before the movement completes,MV00050,C,Z7,poacher_positioned_in_Z17
underlap,ball_winning_midfielder,MOVEMENT,defensive_response_available_is_double_team,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,ball_winning_midfielder gains separation or space value in Z29,attacking_organisation,execute a underlap from Z28 to manipulate marker positioning toward Z29,mistimed execution allows the defender to recover before the movement completes,MV00051,C,Z29,ball_winning_midfielder_positioned_in_Z28
rotation,pressing_forward,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,pressing_forward gains separation or space value in Z30,offensive_transition,execute a rotation from Z22 to manipulate marker positioning toward Z30,mistimed execution allows the defender to recover before the movement completes,MV00052,C,Z30,pressing_forward_positioned_in_Z22
inversion,advanced_forward,MOVEMENT,defensive_response_available_is_press_immediately,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,advanced_forward gains separation or space value in Z30,defensive_organisation,execute a inversion from Z10 to manipulate marker positioning toward Z30,mistimed execution allows the defender to recover before the movement completes,MV00053,C,Z30,advanced_forward_positioned_in_Z10
check_toward_ball,deep_playmaker,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,deep_playmaker gains separation or space value in Z1,attacking_organisation,execute a check toward ball from Z21 to manipulate marker positioning toward Z1,mistimed execution allows the defender to recover before the movement completes,MV00054,C,Z1,deep_playmaker_positioned_in_Z21
check_toward_ball,inverted_fb,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,inverted_fb gains separation or space value in Z1,set_piece,execute a check toward ball from Z7 to manipulate marker positioning toward Z1,mistimed execution allows the defender to recover before the movement completes,MV00055,C,Z1,inverted_fb_positioned_in_Z7
straight_run,half_back,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,half_back gains separation or space value in Z8,offensive_transition,execute a straight run from Z14 to manipulate marker positioning toward Z8,mistimed execution allows the defender to recover before the movement completes,MV00056,C,Z8,half_back_positioned_in_Z14
straight_run,poacher,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,poacher gains separation or space value in Z16,defensive_organisation,execute a straight run from Z6 to manipulate marker positioning toward Z16,mistimed execution allows the defender to recover before the movement completes,MV00057,C,Z16,poacher_positioned_in_Z6
rotation,defensive_winger,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,defensive_winger gains separation or space value in Z21,attacking_organisation,execute a rotation from Z9 to manipulate marker positioning toward Z21,mistimed execution allows the defender to recover before the movement completes,MV00058,C,Z21,defensive_winger_positioned_in_Z9
occupy,defensive_winger,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,defensive_winger gains separation or space value in Z17,set_piece,execute a occupy from Z29 to manipulate marker positioning toward Z17,mistimed execution allows the defender to recover before the movement completes,MV00059,C,Z17,defensive_winger_positioned_in_Z29
curved_run,deep_lying_forward,MOVEMENT,defensive_response_available_is_drop_off,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,deep_lying_forward gains separation or space value in Z4,offensive_transition,execute a curved run from Z14 to manipulate marker positioning toward Z4,mistimed execution allows the defender to recover before the movement completes,MV00060,C,Z4,deep_lying_forward_positioned_in_Z14
pin,inside_forward,MOVEMENT,defensive_response_available_is_shift_across,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,inside_forward gains separation or space value in Z14,attacking_organisation,execute a pin from Z3 to manipulate marker positioning toward Z14,mistimed execution allows the defender to recover before the movement completes,MV00061,C,Z14,inside_forward_positioned_in_Z3
pin,advanced_forward,MOVEMENT,defensive_response_available_is_recover_goal_side,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,advanced_forward gains separation or space value in Z20,attacking_organisation,execute a pin from Z12 to manipulate marker positioning toward Z20,mistimed execution allows the defender to recover before the movement completes,MV00062,C,Z20,advanced_forward_positioned_in_Z12
pin,false_nine,MOVEMENT,defensive_response_available_is_press_immediately,medium,defender anticipates the movement pattern and delays commitment rather than reacting immediately,false_nine gains separation or space value in Z20,defensive_organisation,execute a pin from Z2 to manipulate marker positioning toward Z20,mistimed execution allows the defender to recover before the movement completes,MV00063,C,Z20,false_nine_positioned_in_Z2
